evidence_id,source_type,source_name,source_path_or_url,page_or_line_ref,claim,evidence_tier,extraction_method,confidence,review_status
evidence_pr_public_money_institutions_reference_seed_row_3_765ce32212,registry,PR Public-Money Institutions (reference seed),data/reference/pr_public_money_entities.csv,row 3,'Financial Oversight and Management Board for Puerto Rico' is a Puerto Rico public-money institution (agency). PROMESA Title III fiscal oversight board.,T1,manual,0.95,accepted
evidence_pr_public_money_institutions_reference_seed_row_4_4999258db5,registry,PR Public-Money Institutions (reference seed),data/reference/pr_public_money_entities.csv,row 4,'Puerto Rico Fiscal Agency and Financial Advisory Authority' is a Puerto Rico public-money institution (agency). Fiscal agent and financial advisor to the government.,T1,manual,0.95,accepted
evidence_pr_public_money_institutions_reference_seed_row_5_e8dcc100ce,registry,PR Public-Money Institutions (reference seed),data/reference/pr_public_money_entities.csv,row 5,'Puerto Rico Public-Private Partnerships Authority' is a Puerto Rico public-money institution (agency). Authority that structures public-private partnership transactions.,T1,manual,0.95,accepted
evidence_pr_public_money_institutions_reference_seed_row_6_fa9dc9bc26,registry,PR Public-Money Institutions (reference seed),data/reference/pr_public_money_entities.csv,row 6,'Puerto Rico Electric Power Authority' is a Puerto Rico public-money institution (utility). Public electric power utility and debt issuer.,T1,manual,0.95,accepted
evidence_pr_public_money_institutions_reference_seed_row_7_3f420eda26,registry,PR Public-Money Institutions (reference seed),data/reference/pr_public_money_entities.csv,row 7,'Puerto Rico Aqueduct and Sewer Authority' is a Puerto Rico public-money institution (utility). Public water and sewer utility and debt issuer.,T1,manual,0.95,accepted
evidence_pr_public_money_institutions_reference_seed_row_8_e866cf617c,registry,PR Public-Money Institutions (reference seed),data/reference/pr_public_money_entities.csv,row 8,'Puerto Rico Highways and Transportation Authority' is a Puerto Rico public-money institution (agency). Highways and transportation authority and debt issuer.,T1,manual,0.95,accepted
evidence_pr_public_money_institutions_reference_seed_row_9_8cec77c4f5,registry,PR Public-Money Institutions (reference seed),data/reference/pr_public_money_entities.csv,row 9,'Puerto Rico Sales Tax Financing Corporation' is a Puerto Rico public-money institution (fund). Sales-tax-backed bond issuing corporation.,T1,manual,0.95,accepted
evidence_pr_public_money_institutions_reference_seed_row_10_666241559e,registry,PR Public-Money Institutions (reference seed),data/reference/pr_public_money_entities.csv,row 10,'Government Development Bank for Puerto Rico' is a Puerto Rico public-money institution (agency). Former fiscal agent and development bank.,T1,manual,0.95,accepted
evidence_pr_public_money_institutions_reference_seed_row_11_e64ed14b88,registry,PR Public-Money Institutions (reference seed),data/reference/pr_public_money_entities.csv,row 11,'Puerto Rico Department of Economic Development and Commerce' is a Puerto Rico public-money institution (agency). Economic development and commerce department.,T1,manual,0.95,accepted
evidence_pr_public_money_institutions_reference_seed_row_12_e5ca1c0b9b,registry,PR Public-Money Institutions (reference seed),data/reference/pr_public_money_entities.csv,row 12,'Puerto Rico Public Buildings Authority' is a Puerto Rico public-money institution (agency). Public buildings authority and debt issuer.,T1,manual,0.95,accepted
evidence_pr_public_money_institutions_reference_seed_row_13_37bbf4588e,registry,PR Public-Money Institutions (reference seed),data/reference/pr_public_money_entities.csv,row 13,'LUMA Energy' is a Puerto Rico public-money institution (firm). Private transmission and distribution operator under P3 concession.,T1,manual,0.95,accepted
evidence_pr_public_money_institutions_reference_seed_row_14_fa8a83e407,registry,PR Public-Money Institutions (reference seed),data/reference/pr_public_money_entities.csv,row 14,'Genera PR' is a Puerto Rico public-money institution (firm). Private power-generation operator under P3 concession.,T1,manual,0.95,accepted
evidence_pr_public_money_institutions_reference_seed_row_15_bdb6788136,registry,PR Public-Money Institutions (reference seed),data/reference/pr_public_money_entities.csv,row 15,'Autopistas Metropolitanas de Puerto Rico' is a Puerto Rico public-money institution (firm). Toll-road concessionaire on long-term HTA agreements.,T1,manual,0.95,accepted
evidence_pr_public_money_relationships_reference_seed_row_2_91c89662f2,web,PR Public-Money Relationships (reference seed),data/reference/canonical_v1_relationships_seed.csv,row 2,The central government of Puerto Rico has its administrative seat in San Juan.,T2,manual,0.85,accepted
evidence_pr_public_money_relationships_reference_seed_row_3_60c780b8cb,web,PR Public-Money Relationships (reference seed),data/reference/canonical_v1_relationships_seed.csv,row 3,AAFAF is headquartered in San Juan Puerto Rico.,T2,manual,0.85,accepted
evidence_pr_public_money_relationships_reference_seed_row_4_172d04768e,web,PR Public-Money Relationships (reference seed),data/reference/canonical_v1_relationships_seed.csv,row 4,The Puerto Rico P3 Authority is headquartered in San Juan Puerto Rico.,T2,manual,0.85,accepted
evidence_pr_public_money_relationships_reference_seed_row_5_e438a50fd7,web,PR Public-Money Relationships (reference seed),data/reference/canonical_v1_relationships_seed.csv,row 5,PREPA has its headquarters in San Juan Puerto Rico.,T2,manual,0.85,accepted
evidence_pr_public_money_relationships_reference_seed_row_6_b5b42d9802,web,PR Public-Money Relationships (reference seed),data/reference/canonical_v1_relationships_seed.csv,row 6,PRASA has its headquarters in San Juan Puerto Rico.,T2,manual,0.85,accepted
evidence_pr_public_money_relationships_reference_seed_row_7_602998c647,web,PR Public-Money Relationships (reference seed),data/reference/canonical_v1_relationships_seed.csv,row 7,The Highways and Transportation Authority is headquartered in San Juan Puerto Rico.,T2,manual,0.85,accepted
evidence_pr_public_money_relationships_reference_seed_row_8_6762144a20,web,PR Public-Money Relationships (reference seed),data/reference/canonical_v1_relationships_seed.csv,row 8,COFINA is domiciled in San Juan Puerto Rico.,T2,manual,0.85,accepted
evidence_pr_public_money_relationships_reference_seed_row_9_efbcbfae83,web,PR Public-Money Relationships (reference seed),data/reference/canonical_v1_relationships_seed.csv,row 9,The Government Development Bank is headquartered in San Juan Puerto Rico.,T2,manual,0.85,accepted
evidence_pr_public_money_relationships_reference_seed_row_10_30c5f9634d,web,PR Public-Money Relationships (reference seed),data/reference/canonical_v1_relationships_seed.csv,row 10,The Department of Economic Development and Commerce is headquartered in San Juan Puerto Rico.,T2,manual,0.85,accepted
evidence_pr_public_money_relationships_reference_seed_row_11_9f75240f24,web,PR Public-Money Relationships (reference seed),data/reference/canonical_v1_relationships_seed.csv,row 11,The Public Buildings Authority is headquartered in San Juan Puerto Rico.,T2,manual,0.85,accepted
