source_id,family,pipeline_status,guide_relation,guide_avenue_ids,binding_states
nmtc,federal,not_materialized,B_ONLY,,
nonprofits_irs990,federal,not_materialized,B_ONLY,,
gao_ig_audits,federal,not_materialized,B_ONLY,,
dol_whd_osha,federal,not_materialized,B_ONLY,,
sf133_budget_execution,federal,not_materialized,B_ONLY,,
research_grants,federal,not_materialized,INTERSECTION,GFAV-026,SUPPORTING_ROUTE
grants_gov,federal,not_materialized,B_ONLY,,
financialdata_net,optional_commercial_enrichment,not_materialized,B_ONLY,,
usaspending_loans,federal,not_materialized,B_ONLY,,
federal_audit_clearinghouse,federal,not_materialized,B_ONLY,,
sam_exclusions,entity_resolution,not_materialized,B_ONLY,,
sam_opportunities,federal,not_materialized,B_ONLY,,
usda_farm_subsidies,federal,not_materialized,INTERSECTION,GFAV-017,SUPPORTING_ROUTE
hud_cdbg_mit,federal,not_materialized,B_ONLY,,
fema_individual_assistance,federal,not_materialized,B_ONLY,,
opportunity_zones,federal,not_materialized,INTERSECTION,GFAV-021,AUTHORITATIVE_ROUTE
opm_fedscope,federal,not_materialized,B_ONLY,,
doj_settlements,federal,not_materialized,B_ONLY,,
equitable_sharing,federal,not_materialized,B_ONLY,,
irs_ctc_eitc_pr,federal,not_materialized,B_ONLY,,
ocpr_contracts,territorial,not_materialized,B_ONLY,,
ddec_incentives,territorial,not_materialized,INTERSECTION,GFAV-008;GFAV-009;GFAV-010;GFAV-011;GFAV-013;GFAV-014;GFAV-015;GFAV-016;GFAV-017;GFAV-018;GFAV-019;GFAV-021;GFAV-022;GFAV-023;GFAV-024;GFAV-025;GFAV-026;GFAV-027;GFAV-028;GFAV-029;GFAV-030,AUTHORITATIVE_ROUTE;SUPPORTING_ROUTE
crim_property_tax,municipal,not_materialized,B_ONLY,,
ases_plan_vital,territorial,not_materialized,B_ONLY,,
loteria_pr,territorial,not_materialized,B_ONLY,,
gaming_commission,territorial,not_materialized,B_ONLY,,
ports_authority,infrastructure,not_materialized,B_ONLY,,
act_tolls_concession,infrastructure,not_materialized,B_ONLY,,
oatrh_payroll,territorial,not_materialized,B_ONLY,,
ogpe_permits,municipal,not_materialized,B_ONLY,,
dtop_vehicle_fees,territorial,not_materialized,B_ONLY,,
tourism_room_tax,territorial,not_materialized,INTERSECTION,GFAV-014,SUPPORTING_ROUTE
bde_loans,territorial,not_materialized,INTERSECTION,GFAV-003;GFAV-023,AUTHORITATIVE_ROUTE;SUPPORTING_ROUTE
prpha_housing_subsidy,territorial,not_materialized,B_ONLY,,
hacienda_sut_ivu,territorial,not_materialized,B_ONLY,,
census_gov_finances,territorial,not_materialized,B_ONLY,,
fta_ntd,infrastructure,not_materialized,B_ONLY,,
pr_act_154_excise,territorial,not_materialized,B_ONLY,,
pr_income_tax_collections,territorial,not_materialized,B_ONLY,,
pr_general_fund_revenues,territorial,not_materialized,B_ONLY,,
estadisticas_pr_external_trade,territorial,not_materialized,B_ONLY,,
prasa_cer,infrastructure,not_materialized,B_ONLY,,
prasa_cip,infrastructure,not_materialized,B_ONLY,,
prasa_completed_projects,infrastructure,not_materialized,B_ONLY,,
legislapr_discovery,territorial_legislation,not_materialized,B_ONLY,,
legislapr_sessions,territorial_legislation,not_materialized,B_ONLY,,
legislative_canonical_sources,territorial_legislation,not_materialized,B_ONLY,,
osl_sutra_crosswalk,territorial_legislation,not_materialized,B_ONLY,,
legislative_fiscal_link_candidates,territorial_legislation,not_materialized,B_ONLY,,
centinelas_pre_official_signals,pre_officialization,not_materialized,B_ONLY,,
dtop_centerline_lrs,infrastructure,not_materialized,B_ONLY,,
fhwa_hpms_routes,infrastructure,not_materialized,B_ONLY,,
fhwa_nbi_bridges,infrastructure,not_materialized,B_ONLY,,
stip_tip_projects,infrastructure,not_materialized,B_ONLY,,
roadwatch_corridor_join,infrastructure,not_materialized,B_ONLY,,
oce_socrata_live,political_finance,not_materialized,B_ONLY,,
campaign_finance_entities,political_finance,not_materialized,B_ONLY,,
campaign_finance_materialization_gate,political_finance,not_materialized,B_ONLY,,
nara_nextgen_catalog_v3,provenance_archival,not_materialized,B_ONLY,,
nara_catalog_aws_open_data,provenance_archival,not_materialized,B_ONLY,,
