canonical_cluster,overridden,distinct_raw_forms,total_occurrences,source_count,sources,raw_forms
JJ INVESTMENT GROUP,yes,2,7,1,ACUDEN_2024,JJ Investment Group LLC|JJ Investmentt Group LLC
JUDITH MARGARITA CASANOVA SANTIAGO,no,1,7,1,ACUDEN_2024,Judith Margarita Casanova Santiago
MANPOWERGROUP,no,1,7,1,ACUDEN_2024,Manpowergroup Inc.
MARITIME TRANSPORT AUTHORITY FOR PUERTO RICO,yes,2,7,1,ACT_2020,AUTORIDAD DE TRANSPORTE MARITIMO Y LAS ISLAS MUNIC|Maritime Transport Authority for Puerto Rico and t
MG CONSULTING GROUP,no,1,7,1,ACUDEN_2024,MG Consulting Group LLC
MUNICIPIO ISABELA,no,2,7,2,ACT_2020|ACUDEN_2024,MUNICIPALITY OF ISABELA|Municipio de Isabela
PIESITOS CENTRO DE DESARROLLO INTEGRAL DEL NINO,no,2,7,1,ACUDEN_2024,Piesitos Centro de Desarrollo Integral del Niño|Piesitos Centro de Desarrollo Integral del Niño Inc
RED POR LOS DERECHOS DE LA NINEZ Y LA JUVENTUD DE PUERTO RICO,no,1,7,1,ACUDEN_2024,Red por los Derechos de la Niñez y la Juventud de Puerto Rico Inc.
UNLIMITED LEARNING CENTER,yes,2,7,1,ACUDEN_2024,"Unlimited Learning Center, Inc.|Unlimited Lerning Center Inc."
ACADEMIA HUELLITAS DEL SABER,no,2,6,1,ACUDEN_2024,"Academia Huellitas del Saber Inc|Academia Huellitas del Saber, Inc."
BETANCES SCHOOL,no,2,6,1,ACUDEN_2024,"Betances School Inc|Betances School, Inc"
BRIGHT LITTLE MINDS,no,2,6,1,ACUDEN_2024,Bright Little Minds Inc|Bright Little Minds Inc.
CENTRO DE CUIDADO DIURNO HABACUC,no,2,6,1,ACUDEN_2024,"Centro de Cuidado Diurno Habacuc Inc|Centro de Cuidado Diurno Habacuc, Inc"
CENTRO DE CUIDO ABRAZO MATERNAL,no,1,6,1,ACUDEN_2024,Centro de Cuido Abrazo Maternal LLC
CENTRO DE DESARROLLO INFANTIL GARBIDALIS,no,2,6,1,ACUDEN_2024,"Centro de Desarrollo Infantil Garbidalis Inc|Centro de Desarrollo Infantil Garbidalis, Inc"
CYNTHIA DAY CARE CENTER CRL,no,2,6,1,ACUDEN_2024,"Cynthia Day Care Center CRL|Cynthia Day Care Center, CRL"
FUNDACION PARA EL DESARROLLO DEL HOGAR PROPIO,no,1,6,1,ACUDEN_2024,Fundación para el Desarrollo del Hogar Propio Inc
HAPPY FACE HUMACAO,no,2,6,1,ACUDEN_2024,"Happy Face Humacao LLC|Happy Face Humacao, LLC"
