municipality_id,name,normalized_name,region,county_fips,aliases,confidence,evidence_id,review_status,notes
muni_pr_guaynabo,Guaynabo,GUAYNABO,metro,72061,GUAYNABO|MUNICIPIO DE GUAYNABO|Guaynabo,0.95,evidence_data_reference_pr_municipalities_csv_row_33_5dd9d9021f,accepted,
muni_pr_gurabo,Gurabo,GURABO,east,72063,GURABO|MUNICIPIO DE GURABO|Gurabo,0.95,evidence_data_reference_pr_municipalities_csv_row_34_9ec0a5539c,accepted,
muni_pr_hatillo,Hatillo,HATILLO,north,72065,HATILLO|MUNICIPIO DE HATILLO|Hatillo,0.95,evidence_data_reference_pr_municipalities_csv_row_35_21c1c382a8,accepted,
muni_pr_hormigueros,Hormigueros,HORMIGUEROS,west,72067,HORMIGUEROS|MUNICIPIO DE HORMIGUEROS|Hormigueros,0.95,evidence_data_reference_pr_municipalities_csv_row_36_ddb34381c2,accepted,
muni_pr_humacao,Humacao,HUMACAO,east,72069,HUMACAO|MUNICIPIO DE HUMACAO|Humacao,0.95,evidence_data_reference_pr_municipalities_csv_row_37_ed1721ff42,accepted,
muni_pr_isabela,Isabela,ISABELA,west,72071,ISABELA|MUNICIPIO DE ISABELA|Isabela,0.95,evidence_data_reference_pr_municipalities_csv_row_38_5dc5fa1629,accepted,
muni_pr_jayuya,Jayuya,JAYUYA,central,72073,JAYUYA|MUNICIPIO DE JAYUYA|Jayuya,0.95,evidence_data_reference_pr_municipalities_csv_row_39_4b68cda456,accepted,
muni_pr_juana_diaz,Juana Diaz,JUANA DIAZ,south,72075,JUANA DIAZ|MUNICIPIO DE JUANA DIAZ|Juana Díaz,0.95,evidence_data_reference_pr_municipalities_csv_row_40_0513a57d47,accepted,
muni_pr_juncos,Juncos,JUNCOS,east,72077,JUNCOS|MUNICIPIO DE JUNCOS|Juncos,0.95,evidence_data_reference_pr_municipalities_csv_row_41_b572b3a3ee,accepted,
muni_pr_lajas,Lajas,LAJAS,west,72079,LAJAS|MUNICIPIO DE LAJAS|Lajas,0.95,evidence_data_reference_pr_municipalities_csv_row_42_75f52237ea,accepted,
muni_pr_lares,Lares,LARES,west,72081,LARES|MUNICIPIO DE LARES|Lares,0.95,evidence_data_reference_pr_municipalities_csv_row_43_1275d9e125,accepted,
muni_pr_las_marias,Las Marias,LAS MARIAS,west,72083,LAS MARIAS|MUNICIPIO DE LAS MARIAS|Las Marías,0.95,evidence_data_reference_pr_municipalities_csv_row_44_5d6b7182d3,accepted,
muni_pr_las_piedras,Las Piedras,LAS PIEDRAS,east,72085,LAS PIEDRAS|MUNICIPIO DE LAS PIEDRAS|Las Piedras,0.95,evidence_data_reference_pr_municipalities_csv_row_45_4e1489ec87,accepted,
muni_pr_loiza,Loiza,LOIZA,metro,72087,LOIZA|MUNICIPIO DE LOIZA|Loíza,0.95,evidence_data_reference_pr_municipalities_csv_row_46_c8536b9ad6,accepted,
muni_pr_luquillo,Luquillo,LUQUILLO,east,72089,LUQUILLO|MUNICIPIO DE LUQUILLO|Luquillo,0.95,evidence_data_reference_pr_municipalities_csv_row_47_57a11e442c,accepted,
muni_pr_manati,Manati,MANATI,north,72091,MANATI|MUNICIPIO DE MANATI|Manatí,0.95,evidence_data_reference_pr_municipalities_csv_row_48_b6fad095ea,accepted,
muni_pr_maricao,Maricao,MARICAO,west,72093,MARICAO|MUNICIPIO DE MARICAO|Maricao,0.95,evidence_data_reference_pr_municipalities_csv_row_49_dcb0172b5c,accepted,
muni_pr_maunabo,Maunabo,MAUNABO,east,72095,MAUNABO|MUNICIPIO DE MAUNABO|Maunabo,0.95,evidence_data_reference_pr_municipalities_csv_row_50_0d43cdb93b,accepted,
