request_id,expected_input,source_family,suppression_status,suppression_reason,suppression_scope,unsuppress_condition,retry_allowed
manual:data/staging/processed/pr_contracts_master.csv,data/staging/processed/pr_contracts_master.csv,usaspending_federal_awards_backbone,suppressed,external_source_unavailable_or_undelivered,block_generic_retry_loop,"Provide the required manual source file under data/manual_import_dropzone/r4_8e/usaspending_federal_awards_backbone/pr_contracts_master.csv, validate schema/rows, and stage to data/staging/processed/pr_contracts_master.csv.",False
validated:data/staging/processed/pr_doe_master.csv,data/staging/processed/pr_doe_master.csv,federal_sectoral_doe,suppressed,external_source_unavailable_or_undelivered,block_generic_retry_loop,Deliver the physical validated source file for data/staging/processed/pr_doe_master.csv with matching manifest-compatible hash and nonzero rows.,False
manual:data/staging/processed/pr_grants_master.csv,data/staging/processed/pr_grants_master.csv,usaspending_federal_awards_backbone,suppressed,external_source_unavailable_or_undelivered,block_generic_retry_loop,"Provide the required manual source file under data/manual_import_dropzone/r4_8e/usaspending_federal_awards_backbone/pr_grants_master.csv, validate schema/rows, and stage to data/staging/processed/pr_grants_master.csv.",False
validated:data/staging/processed/pr_dot_master.csv,data/staging/processed/pr_dot_master.csv,federal_sectoral_dot,suppressed,external_source_unavailable_or_undelivered,block_generic_retry_loop,Deliver the physical validated source file for data/staging/processed/pr_dot_master.csv with matching manifest-compatible hash and nonzero rows.,False
manual:data/staging/processed/pr_subawards_master.csv,data/staging/processed/pr_subawards_master.csv,fsrs_subawards,suppressed,external_source_unavailable_or_undelivered,block_generic_retry_loop,"Provide the required manual source file under data/manual_import_dropzone/r4_8e/fsrs_subawards/pr_subawards_master.csv, validate schema/rows, and stage to data/staging/processed/pr_subawards_master.csv.",False
validated:data/staging/processed/pr_epa_master.csv,data/staging/processed/pr_epa_master.csv,federal_sectoral_epa,suppressed,external_source_unavailable_or_undelivered,block_generic_retry_loop,Deliver the physical validated source file for data/staging/processed/pr_epa_master.csv with matching manifest-compatible hash and nonzero rows.,False
manual:data/staging/processed/pr_fema_pa_master.csv,data/staging/processed/pr_fema_pa_master.csv,fema_pa_hmgp,suppressed,external_source_unavailable_or_undelivered,block_generic_retry_loop,"Provide the required manual source file under data/manual_import_dropzone/r4_8e/fema_pa_hmgp/pr_fema_pa_master.csv, validate schema/rows, and stage to data/staging/processed/pr_fema_pa_master.csv.",False
validated:data/staging/processed/pr_hud_master.csv,data/staging/processed/pr_hud_master.csv,hud_cdbg,suppressed,external_source_unavailable_or_undelivered,block_generic_retry_loop,Deliver the physical validated source file for data/staging/processed/pr_hud_master.csv with matching manifest-compatible hash and nonzero rows.,False
manual:data/staging/processed/pr_fema_hmgp_master.csv,data/staging/processed/pr_fema_hmgp_master.csv,fema_pa_hmgp,suppressed,external_source_unavailable_or_undelivered,block_generic_retry_loop,"Provide the required manual source file under data/manual_import_dropzone/r4_8e/fema_pa_hmgp/pr_fema_hmgp_master.csv, validate schema/rows, and stage to data/staging/processed/pr_fema_hmgp_master.csv.",False
validated:data/staging/processed/pr_slfrf_master.csv,data/staging/processed/pr_slfrf_master.csv,slfrf,suppressed,external_source_unavailable_or_undelivered,block_generic_retry_loop,Deliver the physical validated source file for data/staging/processed/pr_slfrf_master.csv with matching manifest-compatible hash and nonzero rows.,False
manual:data/staging/processed/pr_research_master.csv,data/staging/processed/pr_research_master.csv,federal_research,suppressed,external_source_unavailable_or_undelivered,block_generic_retry_loop,"Provide the required manual source file under data/manual_import_dropzone/r4_8e/federal_research/pr_research_master.csv, validate schema/rows, and stage to data/staging/processed/pr_research_master.csv.",False
validated:data/staging/processed/pr_usda_master.csv,data/staging/processed/pr_usda_master.csv,federal_sectoral_usda,suppressed,external_source_unavailable_or_undelivered,block_generic_retry_loop,Deliver the physical validated source file for data/staging/processed/pr_usda_master.csv with matching manifest-compatible hash and nonzero rows.,False
manual:data/staging/processed/pr_sba_loans_master.csv,data/staging/processed/pr_sba_loans_master.csv,sba_loans,suppressed,external_source_unavailable_or_undelivered,block_generic_retry_loop,"Provide the required manual source file under data/manual_import_dropzone/r4_8e/sba_loans/pr_sba_loans_master.csv, validate schema/rows, and stage to data/staging/processed/pr_sba_loans_master.csv.",False
validated:data/staging/processed/pr_wioa_grants.csv,data/staging/processed/pr_wioa_grants.csv,federal_sectoral_wioa,suppressed,external_source_unavailable_or_undelivered,block_generic_retry_loop,Deliver the physical validated source file for data/staging/processed/pr_wioa_grants.csv with matching manifest-compatible hash and nonzero rows.,False
manual:data/staging/processed/pr_cdbg_dr_master.csv,data/staging/processed/pr_cdbg_dr_master.csv,hud_cdbg,suppressed,external_source_unavailable_or_undelivered,block_generic_retry_loop,"Provide the required manual source file under data/manual_import_dropzone/r4_8e/hud_cdbg/pr_cdbg_dr_master.csv, validate schema/rows, and stage to data/staging/processed/pr_cdbg_dr_master.csv.",False
manual:data/staging/processed/pr_sbir_master.csv,data/staging/processed/pr_sbir_master.csv,federal_sectoral_sbir,suppressed,external_source_unavailable_or_undelivered,block_generic_retry_loop,"Provide the required manual source file under data/manual_import_dropzone/r4_8e/federal_sectoral_sbir/pr_sbir_master.csv, validate schema/rows, and stage to data/staging/processed/pr_sbir_master.csv.",False
manual:data/staging/processed/pr_usace_civil_master.csv,data/staging/processed/pr_usace_civil_master.csv,federal_sectoral_usace,suppressed,external_source_unavailable_or_undelivered,block_generic_retry_loop,"Provide the required manual source file under data/manual_import_dropzone/r4_8e/federal_sectoral_usace/pr_usace_civil_master.csv, validate schema/rows, and stage to data/staging/processed/pr_usace_civil_master.csv.",False
manual:data/staging/expansion/expansion_idv_indirect_pr.csv,data/staging/expansion/expansion_idv_indirect_pr.csv,usaspending_federal_awards_backbone,suppressed,external_source_unavailable_or_undelivered,block_generic_retry_loop,"Provide the required manual source file under data/manual_import_dropzone/r4_8e/usaspending_federal_awards_backbone/expansion_idv_indirect_pr.csv, validate schema/rows, and stage to data/staging/expansion/expansion_idv_indirect_pr.csv.",False
