priority,expected_input,source_family,source_url_or_portal,producer_script,reason,recommended_review,next_action
2,data/staging/processed/pr_grants_master.csv,usaspending_federal_awards_backbone,https://api.usaspending.gov,scripts/download_grants.py,command timed out after 20s,Check endpoint status/rate limits; retry with bounded timeout and backoff.,endpoint_review
4,data/staging/processed/pr_fema_pa_master.csv,fema_pa_hmgp,https://www.fema.gov/openfema,scripts/download_fema.py,command timed out after 20s,Check endpoint status/rate limits; retry with bounded timeout and backoff.,endpoint_review
5,data/staging/processed/pr_fema_hmgp_master.csv,fema_pa_hmgp,https://www.fema.gov/openfema,scripts/download_fema.py,command timed out after 20s,Check endpoint status/rate limits; retry with bounded timeout and backoff.,endpoint_review
6,data/staging/processed/pr_research_master.csv,federal_research,https://www.nsf.gov/awardsearch/,scripts/download_research.py,command timed out after 20s,Check endpoint status/rate limits; retry with bounded timeout and backoff.,endpoint_review
9,data/staging/processed/pr_cdbg_dr_master.csv,hud_cdbg,https://www.hudexchange.info,scripts/download_cdbg_dr.py,command timed out after 20s,Check endpoint status/rate limits; retry with bounded timeout and backoff.,endpoint_review
18,data/staging/expansion/expansion_idv_indirect_pr.csv,usaspending_federal_awards_backbone,https://api.usaspending.gov,scripts/auto_download.py,command timed out after 20s,Check endpoint status/rate limits; retry with bounded timeout and backoff.,endpoint_review
19,data/staging/expansion/expansion_dod_upr_2001_2015.csv,usaspending_federal_awards_backbone,https://api.usaspending.gov,scripts/auto_download.py,command timed out after 20s,Check endpoint status/rate limits; retry with bounded timeout and backoff.,endpoint_review
20,data/staging/expansion/expansion_dod_upr_2016_2025.csv,usaspending_federal_awards_backbone,https://api.usaspending.gov,scripts/auto_download.py,command timed out after 20s,Check endpoint status/rate limits; retry with bounded timeout and backoff.,endpoint_review
21,data/staging/expansion/expansion_reconstruction_2017_2025.csv,usaspending_federal_awards_backbone,https://api.usaspending.gov,scripts/auto_download.py,command timed out after 20s,Check endpoint status/rate limits; retry with bounded timeout and backoff.,endpoint_review
