priority,expected_input,source_family,producer_script,retry_status,failure_reason,next_action
1,data/staging/processed/pr_contracts_master.csv,usaspending_federal_awards_backbone,scripts/deduplicate_master.py,failed_no_data,target output has zero rows,producer_patch_or_manual_fallback
3,data/staging/processed/pr_subawards_master.csv,fsrs_subawards,scripts/download_subawards.py,failed_command,"2026-05-08 16:17:46 [INFO] Starting PR subawards download... 2026-05-08 16:17:46 [INFO] [Window 2000f2009] 2007-10-01 to 2009-09-30 2026-05-08 16:17:46 [INFO] Fetching subawards_grants_2000f2009.csv (2007-10-01 to 2009-09-30, type=grants) 2",producer_patch_or_manual_fallback
7,data/staging/processed/pr_sba_loans_master.csv,sba_loans,scripts/download_sba.py,failed_no_data,target output has zero rows,producer_patch_or_manual_fallback
14,data/staging/processed/pr_sbir_master.csv,federal_sectoral_sbir,scripts/download_sbir.py,failed_no_data,target output has zero rows,producer_patch_or_manual_fallback
