expected_relpath,dataset_label,input_group,exists,manifest_exists,schema_valid,forbidden_artifact
data/staging/processed/pr_contracts_master.csv,contracts,core,False,False,False,False
data/staging/processed/pr_grants_master.csv,grants,canonical_master,False,False,False,False
data/staging/processed/pr_subawards_master.csv,subawards,canonical_master,False,False,False,False
data/staging/processed/pr_fema_pa_master.csv,fema_pa,canonical_master,False,False,False,False
data/staging/processed/pr_fema_hmgp_master.csv,fema_hmgp,canonical_master,False,False,False,False
data/staging/processed/pr_research_master.csv,research,canonical_master,False,False,False,False
data/staging/processed/pr_sba_loans_master.csv,sba_loans,canonical_master,False,False,False,False
data/staging/processed/pr_slfrf_master.csv,slfrf,canonical_master,False,False,False,False
data/staging/processed/pr_cdbg_dr_master.csv,cdbg_dr,canonical_master,False,False,False,False
data/staging/processed/pr_dot_master.csv,dot,canonical_master,False,False,False,False
data/staging/processed/pr_usda_master.csv,usda,canonical_master,False,False,False,False
data/staging/processed/pr_doe_master.csv,doe,canonical_master,False,False,False,False
data/staging/processed/pr_hud_master.csv,hud,canonical_master,False,False,False,False
data/staging/processed/pr_sbir_master.csv,sbir,canonical_master,False,False,False,False
data/staging/processed/pr_epa_master.csv,epa,canonical_master,False,False,False,False
data/staging/processed/pr_usace_civil_master.csv,usace_civil,canonical_master,False,False,False,False
data/staging/processed/pr_wioa_grants.csv,wioa,canonical_master,False,False,False,False
data/staging/expansion/expansion_idv_indirect_pr.csv,contracts,expansion,False,True,False,False
data/staging/expansion/expansion_dod_upr_2001_2015.csv,contracts,expansion,False,True,False,False
data/staging/expansion/expansion_dod_upr_2016_2025.csv,contracts,expansion,False,True,False,False
data/staging/expansion/expansion_reconstruction_2017_2025.csv,contracts,expansion,False,True,False,False
