city_norm,total_donated,num_donors,municipality,federal_rows,federal_amount,federal_unique_targets,political_nodes,sample_political_nodes,sample_federal_targets,muni_norm,political_federal_ratio
COROZAL,10720.0,10,COROZAL,46,1987159.0,1,2,COMITE MUNICIPAL COROZAL PIP | COMITE MUNICIPAL COROZAL PPD,MUNICIPIO DE COROZAL,COROZAL,0.0053946362621209
DORADO,117791.0,78,DORADO,54,11097768.59,5,3,COMITE MUNICIPAL DORADO PIP | COMITE MUNICIPAL DORADO PNP | COMITE MUNICIPAL DORADO PPD,"EL DORADO TECHNICAL SERVICES, S.E. | TASIS DORADO INC | DORADO ACADEMY INC | MUNICIPIO DE DORADO | VALLE DORADO, INC",DORADO,0.0106139354992623
FAJARDO,12845.0,22,FAJARDO,59,1533936.8,3,3,COMITE MUNICIPAL FAJARDO PIP | COMITE MUNICIPAL FAJARDO PNP | COMITE MUNICIPAL FAJARDO PPD,FAJARDO INN S.E. | MUNICIPALITY OF FAJARDO | FAJARDO RHF HOUSING INC,FAJARDO,0.0083738782458312
FLORIDA,2750.0,3,FLORIDA,56,1170799.45,9,1,COMITE MUNICIPAL FLORIDA PNP,"FLORIDA DEPARTMENT OF ENVIRONMENTAL PROTECTION | STOA INTERNATIONAL/FLORIDA, INC. | MILITARY, FLORIDA DEPARTMENT OF | FLORIDA STATE COLLEGE AT JACKSONVILLE | WASTE MANAGEMENT INC. OF FLORIDA",FLORIDA,0.0023488224221492
GUANICA,2230.0,13,GUANICA,49,615631.0,1,2,COMITE MUNICIPAL GUANICA PIP | COMITE MUNICIPAL GUANICA PNP,MUNICIPIO DE GUANICA,GUANICA,0.0036222997217489
GUAYAMA,27115.0,50,GUAYAMA,66,3989127.0,3,2,COMITE MUNICIPAL GUAYAMA PIP | COMITE MUNICIPAL GUAYAMA PPD,MUNICIPO DE GUAYAMA | MUNICIPALITY OF GUAYAMA | GUAYAMA LDP,GUAYAMA,0.0067972265610997
GUAYANILLA,850.0,7,GUAYANILLA,47,1686168.0,1,3,COMITE MUNICIPAL GUAYANILLA PIP | COMITE MUNICIPAL GUAYANILLA PNP | COMITE PARA UN MEJOR GUAYANILLA,MUNICIPIO DE GUAYANILLA,GUAYANILLA,0.0005041016079062
GUAYNABO,792506.05,661,GUAYNABO,65,7757179.0,4,3,COMITE MUNICIPAL GUAYNABO PIP | COMITE MUNICIPAL GUAYNABO PNP | COMITE MUNICIPAL GUAYNABO PPD,"GUAYNABO DESTAPE, INC. | GASCOM & GUAYNABO AUTO SOUND, INC. | MUNICPALITY OF GUAYNABO | GUAYNABO REFRIGERATION SERVICES PSC",GUAYNABO,0.1021642081483487
GURABO,18796.56,17,GURABO,49,1815489.0,1,3,COMITE MUNICIPAL GURABO PIP | COMITE MUNICIPAL GURABO PNP | COMITE MUNICIPAL GURABO PPD,GURABO MUNICIPALITY OF,GURABO,0.0103534419652225
HATILLO,16911.0,39,HATILLO,96,1886194.0,1,3,COMITE MUNICIPAL HATILLO PIP | COMITE MUNICIPAL HATILLO PNP | COMITE MUNICIPAL HATILLO PPD,"HATILLO, MUNICIPALITY OF",HATILLO,0.0089656737323944
HORMIGUEROS,9080.0,17,HORMIGUEROS,49,1665511.0,1,3,COMITE MUNICIPAL HORMIGUEROS PIP | COMITE MUNICIPAL HORMIGUEROS PNP | COMITE MUNICIPAL HORMIGUEROS PPD,MUNICIPIO DE HORMIGUEROS,HORMIGUEROS,0.0054517802644353
HUMACAO,57215.0,36,HUMACAO,49,5641981.0,1,2,COMITE MUNICIPAL HUMACAO PIP | COMITE MUNICIPAL HUMACAO PNP,MUNICIPALITY OF HUMACAO,HUMACAO,0.0101409416302536
ISABELA,19977.55,43,ISABELA,46,1061976.0,1,3,COMITE MUNICIPAL ISABELA PIP | COMITE MUNICIPAL ISABELA PNP | COMITE MUNICIPAL ISABELA PPD,MUNICIPALITY OF ISABELA,ISABELA,0.0188116774767038
JAYUYA,5119.0,12,JAYUYA,39,48214.0,1,1,COMITE MUNICIPAL JAYUYA PPD,JAYUYA MUNICIPIO DE,JAYUYA,0.1061724810221097
