expected_input,source_dataset,input_status,candidate_relpath,candidate_path,row_count,sha256,source_family,source_manifest_path,lineage_path,mapping_mode,reason,output_status
data/staging/processed/pr_contracts_master.csv,contracts,validated_r4_9g_candidate,data/staging/processed/pr_contracts_master.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper/data/staging/processed/pr_contracts_master.csv,68680,c71fb68214e5079daaa4f9d5f3952b499bb06d49451eb7a35baac6a61dd97a1c,usaspending_federal_awards_backbone,data/manifests/r4_9g/01_pr_contracts_master.csv.manifest.json,data/staging/processed/pr_contracts_master.csv,r4_9g_scoped_candidate,validated candidate included in partial diagnostic rebuild,PARTIAL_DIAGNOSTIC
data/staging/processed/pr_grants_master.csv,grants,blocked_not_in_r4_9f_unfreeze_candidates,,,0,,usaspending_federal_awards_backbone,,,r4_9g_blocked_non_candidate,candidate_missing_required_columns,BLOCKED_DIAGNOSTIC
data/staging/processed/pr_subawards_master.csv,subawards,blocked_not_in_r4_9f_unfreeze_candidates,,,0,,fsrs_subawards,,,r4_9g_blocked_non_candidate,candidate_missing_required_columns,BLOCKED_DIAGNOSTIC
data/staging/processed/pr_fema_pa_master.csv,fema_pa,blocked_not_in_r4_9f_unfreeze_candidates,,,0,,fema_pa_hmgp,,,r4_9g_blocked_non_candidate,candidate_missing_required_columns,BLOCKED_DIAGNOSTIC
data/staging/processed/pr_fema_hmgp_master.csv,fema_hmgp,blocked_not_in_r4_9f_unfreeze_candidates,,,0,,fema_pa_hmgp,,,r4_9g_blocked_non_candidate,candidate_missing_required_columns,BLOCKED_DIAGNOSTIC
data/staging/processed/pr_research_master.csv,research,blocked_not_in_r4_9f_unfreeze_candidates,,,0,,federal_research,,,r4_9g_blocked_non_candidate,candidate_missing_required_columns,BLOCKED_DIAGNOSTIC
data/staging/processed/pr_sba_loans_master.csv,sba_loans,blocked_not_in_r4_9f_unfreeze_candidates,,,0,,sba_loans,,,r4_9g_blocked_non_candidate,candidate_empty_rows,BLOCKED_DIAGNOSTIC
data/staging/processed/pr_slfrf_master.csv,slfrf,blocked_not_in_r4_9f_unfreeze_candidates,,,0,,slfrf,,,r4_9g_blocked_non_candidate,candidate_missing_required_columns,BLOCKED_DIAGNOSTIC
data/staging/processed/pr_cdbg_dr_master.csv,cdbg_dr,blocked_not_in_r4_9f_unfreeze_candidates,,,0,,hud_cdbg,,,r4_9g_blocked_non_candidate,candidate_missing_required_columns,BLOCKED_DIAGNOSTIC
data/staging/processed/pr_dot_master.csv,dot,blocked_not_in_r4_9f_unfreeze_candidates,,,0,,federal_sectoral_dot,,,r4_9g_blocked_non_candidate,candidate_missing_required_columns,BLOCKED_DIAGNOSTIC
