expected_input,target_output_path,source_family,alignment_attempted,alignment_applied,deterministic_mapping,forbidden_artifact_usage,row_count,observed_columns_before,observed_columns_after,required_columns,missing_columns_before,missing_columns_after,applied_mapping,alignment_added_count,alignment_status,failure_reason
data/staging/processed/pr_slfrf_master.csv,data/staging/processed/pr_slfrf_master.csv,slfrf,True,True,True,False,200,award_id|recipient_name|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category,award_id|recipient_name|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|recipient_name_normalized|source_system|source_record_id|source_lineage_path|source_lineage_mode,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,recipient_name_normalized|source_system|source_record_id|source_lineage_path|source_lineage_mode,,"{""recipient_name_normalized"": ""recipient_name"", ""source_lineage_mode"": ""source_dataset"", ""source_lineage_path"": ""source_file"", ""source_record_id"": ""award_id"", ""source_system"": ""source_dataset""}",5,aligned,
data/staging/processed/pr_dot_master.csv,data/staging/processed/pr_dot_master.csv,federal_sectoral_dot,True,True,True,False,374,award_id|recipient_name|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category,award_id|recipient_name|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|recipient_name_normalized|source_system|source_record_id|source_lineage_path|source_lineage_mode,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,recipient_name_normalized|source_system|source_record_id|source_lineage_path|source_lineage_mode,,"{""recipient_name_normalized"": ""recipient_name"", ""source_lineage_mode"": ""source_dataset"", ""source_lineage_path"": ""source_file"", ""source_record_id"": ""award_id"", ""source_system"": ""source_dataset""}",5,aligned,
data/staging/processed/pr_doe_master.csv,data/staging/processed/pr_doe_master.csv,federal_sectoral_doe,True,True,True,False,116,award_id|recipient_name|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category,award_id|recipient_name|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|recipient_name_normalized|source_system|source_record_id|source_lineage_path|source_lineage_mode,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,recipient_name_normalized|source_system|source_record_id|source_lineage_path|source_lineage_mode,,"{""recipient_name_normalized"": ""recipient_name"", ""source_lineage_mode"": ""source_dataset"", ""source_lineage_path"": ""source_file"", ""source_record_id"": ""award_id"", ""source_system"": ""source_dataset""}",5,aligned,
data/staging/processed/pr_hud_master.csv,data/staging/processed/pr_hud_master.csv,hud_cdbg,True,True,True,False,348,award_id|recipient_name|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category,award_id|recipient_name|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|recipient_name_normalized|source_system|source_record_id|source_lineage_path|source_lineage_mode,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,recipient_name_normalized|source_system|source_record_id|source_lineage_path|source_lineage_mode,,"{""recipient_name_normalized"": ""recipient_name"", ""source_lineage_mode"": ""source_dataset"", ""source_lineage_path"": ""source_file"", ""source_record_id"": ""award_id"", ""source_system"": ""source_dataset""}",5,aligned,
data/staging/processed/pr_epa_master.csv,data/staging/processed/pr_epa_master.csv,federal_sectoral_epa,True,True,True,False,293,award_id|recipient_name|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category,award_id|recipient_name|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|recipient_name_normalized|source_system|source_record_id|source_lineage_path|source_lineage_mode,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,recipient_name_normalized|source_system|source_record_id|source_lineage_path|source_lineage_mode,,"{""recipient_name_normalized"": ""recipient_name"", ""source_lineage_mode"": ""source_dataset"", ""source_lineage_path"": ""source_file"", ""source_record_id"": ""award_id"", ""source_system"": ""source_dataset""}",5,aligned,
data/staging/processed/pr_wioa_grants.csv,data/staging/processed/pr_wioa_grants.csv,federal_sectoral_wioa,True,True,True,False,273,award_id|recipient_name|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category,award_id|recipient_name|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|recipient_name_normalized|source_system|source_record_id|source_lineage_path|source_lineage_mode,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,recipient_name_normalized|source_system|source_record_id|source_lineage_path|source_lineage_mode,,"{""recipient_name_normalized"": ""recipient_name"", ""source_lineage_mode"": ""source_dataset"", ""source_lineage_path"": ""source_file"", ""source_record_id"": ""award_id"", ""source_system"": ""source_dataset""}",5,aligned,
