expected_input,input_group,dataset_label,mapping_mode,mapped_input,mapped_exists,row_count,manifest_exists,forbidden_candidate_count,notes
data/staging/processed/pr_contracts_master.csv,core,contracts,missing,,False,0,False,0,no valid fallback candidates
data/staging/processed/pr_grants_master.csv,canonical_master,grants,missing,,False,0,False,0,no valid fallback candidates
data/staging/processed/pr_subawards_master.csv,canonical_master,subawards,missing,,False,0,False,0,no valid fallback candidates
data/staging/processed/pr_fema_pa_master.csv,canonical_master,fema_pa,missing,,False,0,False,0,no valid fallback candidates
data/staging/processed/pr_fema_hmgp_master.csv,canonical_master,fema_hmgp,missing,,False,0,False,0,no valid fallback candidates
data/staging/processed/pr_research_master.csv,canonical_master,research,missing,,False,0,False,0,no valid fallback candidates
data/staging/processed/pr_sba_loans_master.csv,canonical_master,sba_loans,missing,,False,0,False,0,no valid fallback candidates
data/staging/processed/pr_slfrf_master.csv,canonical_master,slfrf,missing,,False,0,False,0,no valid fallback candidates
data/staging/processed/pr_cdbg_dr_master.csv,canonical_master,cdbg_dr,missing,,False,0,False,0,no valid fallback candidates
data/staging/processed/pr_dot_master.csv,canonical_master,dot,missing,,False,0,False,0,no valid fallback candidates
data/staging/processed/pr_usda_master.csv,canonical_master,usda,missing,,False,0,False,0,no valid fallback candidates
data/staging/processed/pr_doe_master.csv,canonical_master,doe,missing,,False,0,False,0,no valid fallback candidates
data/staging/processed/pr_hud_master.csv,canonical_master,hud,missing,,False,0,False,0,no valid fallback candidates
data/staging/processed/pr_sbir_master.csv,canonical_master,sbir,missing,,False,0,False,0,no valid fallback candidates
data/staging/processed/pr_epa_master.csv,canonical_master,epa,missing,,False,0,False,0,no valid fallback candidates
data/staging/processed/pr_usace_civil_master.csv,canonical_master,usace_civil,missing,,False,0,False,0,no valid fallback candidates
data/staging/processed/pr_wioa_grants.csv,canonical_master,wioa,missing,,False,0,False,0,no valid fallback candidates
data/staging/expansion/expansion_idv_indirect_pr.csv,expansion,contracts,missing,,False,0,False,0,no valid fallback candidates
data/staging/expansion/expansion_dod_upr_2001_2015.csv,expansion,contracts,missing,,False,0,False,0,no valid fallback candidates
data/staging/expansion/expansion_dod_upr_2016_2025.csv,expansion,contracts,missing,,False,0,False,0,no valid fallback candidates
data/staging/expansion/expansion_reconstruction_2017_2025.csv,expansion,contracts,missing,,False,0,False,0,no valid fallback candidates
