expected_input,source_dataset,mapped_rel,mapped_abs,mapping_mode,input_status,row_count,sha256,source_system,source_file,source_manifest_path,target_output_path,lineage_path,reason
data/staging/processed/pr_doe_master.csv,federal_sectoral_doe,data/staging/processed/pr_doe_master.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper-worktrees/r4-9b-validated-source-materialization-and-partial-rebuild-retry/data/staging/processed/pr_doe_master.csv,r4_9b_materialization_scan,blocked,0,,federal_sectoral_doe,data/staging/processed/pr_doe_master.csv,data/manifests/r4_8d/12_pr_doe_master.manifest.json,data/staging/processed/pr_doe_master.csv,data/staging/processed/pr_doe_master.csv,no_hash_compatible_candidate_found
data/staging/processed/pr_dot_master.csv,federal_sectoral_dot,data/staging/processed/pr_dot_master.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper-worktrees/r4-9b-validated-source-materialization-and-partial-rebuild-retry/data/staging/processed/pr_dot_master.csv,r4_9b_materialization_scan,blocked,0,,federal_sectoral_dot,data/staging/processed/pr_dot_master.csv,data/manifests/r4_8d/10_pr_dot_master.manifest.json,data/staging/processed/pr_dot_master.csv,data/staging/processed/pr_dot_master.csv,no_hash_compatible_candidate_found
data/staging/processed/pr_epa_master.csv,federal_sectoral_epa,data/staging/processed/pr_epa_master.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper-worktrees/r4-9b-validated-source-materialization-and-partial-rebuild-retry/data/staging/processed/pr_epa_master.csv,r4_9b_materialization_scan,blocked,0,,federal_sectoral_epa,data/staging/processed/pr_epa_master.csv,data/manifests/r4_8d/15_pr_epa_master.manifest.json,data/staging/processed/pr_epa_master.csv,data/staging/processed/pr_epa_master.csv,no_hash_compatible_candidate_found
data/staging/processed/pr_hud_master.csv,hud_cdbg,data/staging/processed/pr_hud_master.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper-worktrees/r4-9b-validated-source-materialization-and-partial-rebuild-retry/data/staging/processed/pr_hud_master.csv,r4_9b_materialization_scan,blocked,0,,hud_cdbg,data/staging/processed/pr_hud_master.csv,data/manifests/r4_8d/13_pr_hud_master.manifest.json,data/staging/processed/pr_hud_master.csv,data/staging/processed/pr_hud_master.csv,no_hash_compatible_candidate_found
data/staging/processed/pr_slfrf_master.csv,slfrf,data/staging/processed/pr_slfrf_master.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper-worktrees/r4-9b-validated-source-materialization-and-partial-rebuild-retry/data/staging/processed/pr_slfrf_master.csv,r4_9b_materialization_scan,blocked,0,,slfrf,data/staging/processed/pr_slfrf_master.csv,data/manifests/r4_8d/08_pr_slfrf_master.manifest.json,data/staging/processed/pr_slfrf_master.csv,data/staging/processed/pr_slfrf_master.csv,no_hash_compatible_candidate_found
data/staging/processed/pr_usda_master.csv,federal_sectoral_usda,data/staging/processed/pr_usda_master.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper-worktrees/r4-9b-validated-source-materialization-and-partial-rebuild-retry/data/staging/processed/pr_usda_master.csv,r4_9b_materialization_scan,blocked,0,,federal_sectoral_usda,data/staging/processed/pr_usda_master.csv,data/manifests/r4_8d/11_pr_usda_master.manifest.json,data/staging/processed/pr_usda_master.csv,data/staging/processed/pr_usda_master.csv,no_hash_compatible_candidate_found
data/staging/processed/pr_wioa_grants.csv,federal_sectoral_wioa,data/staging/processed/pr_wioa_grants.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper-worktrees/r4-9b-validated-source-materialization-and-partial-rebuild-retry/data/staging/processed/pr_wioa_grants.csv,r4_9b_materialization_scan,blocked,0,,federal_sectoral_wioa,data/staging/processed/pr_wioa_grants.csv,data/manifests/r4_8d/17_pr_wioa_grants.manifest.json,data/staging/processed/pr_wioa_grants.csv,data/staging/processed/pr_wioa_grants.csv,no_hash_compatible_candidate_found
