source_record_id,insurer_name_raw,website_raw,source_url,retrieved_at_utc,geo_municipality_code,geo_municipality_name,geo_county_fips,geo_zip,geo_lat,geo_lon,geo_attribution_source,geo_attribution_confidence
dabe8847889e912c90044f8d9efdc66c8f7725acab655d15e5fb8e27a2fcf52a,AIG Life Insurance Company of Puerto Rico,https://www.aig.com.pr/business,https://www.ocs.pr.gov/consumidores/aseguradores-del-pais,2026-08-26T16:25:40+00:00,,,,,,,,unknown
97ff9aa67f97db26b9e85c431606ca88c20a6cb88bb1563120680928413b236a,Antilles Insurance Company,https://antillesinsurance.com/,https://www.ocs.pr.gov/consumidores/aseguradores-del-pais,2026-08-26T16:25:40+00:00,,,,,,,,unknown
6afecb13b286f61ad64637921fb587b7f2356dae258fe771005b98723abaec5e,Asociación de Suscripción Conjunta del Seguro de Responsabilidad Obligatorio,https://www.asctucompulsorio.com/,https://www.ocs.pr.gov/consumidores/aseguradores-del-pais,2026-08-26T16:25:40+00:00,,,,,,,,unknown
bb7baca2503bedb3081fdd459e303df79e6928b23b0cabe00a681e8b1b938347,"Auxilio Salud Plus, Inc.",https://www.auxiliosaludplus.com/,https://www.ocs.pr.gov/consumidores/aseguradores-del-pais,2026-08-26T16:25:40+00:00,,,,,,,,unknown
4942aecf33ce273e293315e2b7c7860fde6ce2e56ae0321dac04407e3744c0e0,"Blitz Insurance, Inc.",https://www.blitzinsurance.com/,https://www.ocs.pr.gov/consumidores/aseguradores-del-pais,2026-08-26T16:25:40+00:00,,,,,,,,unknown
673266fdfab9e5bcc41ac83064999c74dae75e7a364921e9e2eef794c622deb4,Caribbean American Life Assurance Company - Caribbean American Property Insurance Company,https://www.assurant.pr/,https://www.ocs.pr.gov/consumidores/aseguradores-del-pais,2026-08-26T16:25:40+00:00,,,,,,,,unknown
eeef7191613c5b24f0da7f814317ca844f08bcb72a420838327d492e78dfc95c,Chubb Insurance Company of Puerto Rico,https://www.chubb.com/ar-es/,https://www.ocs.pr.gov/consumidores/aseguradores-del-pais,2026-08-26T16:25:40+00:00,,,,,,,,unknown
1d907264b50570f807f840280baa994f3876a7da25648fde48a9551056a70c42,Cooperativa de Seguros de Vida de Puerto Rico (COSVI),https://www.cosvi.com/,https://www.ocs.pr.gov/consumidores/aseguradores-del-pais,2026-08-26T16:25:40+00:00,,,,,,,,unknown
4213ef2e762c1c59fd4710b548f775017337968594d925a2b3e9983827b91aae,Cooperativa de Seguros Múltiples de Puerto Rico,https://www.segurosmultiples.com/,https://www.ocs.pr.gov/consumidores/aseguradores-del-pais,2026-08-26T16:25:40+00:00,,,,,,,,unknown
d6a9dbeaf467b7b264472213e8789be21e75dc3d262db0a74035a4a27122cb88,Covernet Insurance Company,https://www.covernetinsurance.com/,https://www.ocs.pr.gov/consumidores/aseguradores-del-pais,2026-08-26T16:25:40+00:00,,,,,,,,unknown
