entity_id,normalized_name,sector,temporal_edges,milestone_type_count,dataset_count,avg_confidence,continuity_score,milestone_types,datasets
prepa:black_mowen_ira_s_address_on_file,BLACK MOWEN IRA S ADDRESS ON FILE,infrastructure_contractor,59,4,1,0.75,69.25,"{""generation"": 32, ""privatization"": 23, ""restructuring"": 2, ""reconstruction"": 2}","{""pr_contracts_master.csv"": 59}"
prepa:cal_check_11600_black_horse_run_raleigh_nc,CAL CHECK 11600 BLACK HORSE RUN RALEIGH NC,infrastructure_contractor,59,4,1,0.75,69.25,"{""generation"": 32, ""privatization"": 23, ""restructuring"": 2, ""reconstruction"": 2}","{""pr_contracts_master.csv"": 59}"
prepa:ecoelectrica_lp_attn_carlos_reyes_plaza_scotiabank_suite,ECOELECTRICA LP ATTN CARLOS REYES PLAZA SCOTIABANK SUITE,energy_fuel,53,4,2,0.75,64.75,"{""restructuring"": 13, ""reconstruction"": 14, ""privatization"": 15, ""generation"": 11}","{""pr_contracts_master.csv"": 41, ""pr_subawards_master.csv"": 12}"
prepa:aluma_systems_puerto_rico_corp,ALUMA SYSTEMS PUERTO RICO CORP,infrastructure_contractor,45,4,2,0.75,56.75,"{""privatization"": 17, ""generation"": 11, ""restructuring"": 8, ""reconstruction"": 9}","{""pr_contracts_master.csv"": 24, ""pr_subawards_master.csv"": 21}"
prepa:rico_fiscal_agency_and_financial_advisory_authority_greenberg,RICO FISCAL AGENCY AND FINANCIAL ADVISORY AUTHORITY GREENBERG,legal,28,4,2,0.75,39.75,"{""restructuring"": 6, ""reconstruction"": 5, ""privatization"": 11, ""generation"": 6}","{""pr_contracts_master.csv"": 24, ""pr_subawards_master.csv"": 4}"
prepa:cristina_matos_blackburn,CRISTINA MATOS BLACKBURN,infrastructure_contractor,13,4,1,0.75,23.25,"{""restructuring"": 5, ""reconstruction"": 5, ""privatization"": 2, ""generation"": 1}","{""pr_contracts_master.csv"": 13}"
prepa:proskauer_rose_llp,PROSKAUER ROSE LLP,legal,12,4,1,0.75,22.25,"{""restructuring"": 1, ""reconstruction"": 1, ""privatization"": 7, ""generation"": 3}","{""pr_contracts_master.csv"": 12}"
prepa:ernst_young_llp_1000_scotiabank_plaza_273,ERNST YOUNG LLP 1000 SCOTIABANK PLAZA 273,legal,9,4,2,0.75,20.75,"{""privatization"": 2, ""generation"": 4, ""restructuring"": 2, ""reconstruction"": 1}","{""pr_contracts_master.csv"": 6, ""pr_subawards_master.csv"": 3}"
prepa:freepoint_commodities_llc_attn_brandon_diket_freepo_int,FREEPOINT COMMODITIES LLC ATTN BRANDON DIKET FREEPO INT,energy_fuel,7,4,1,0.75,17.25,"{""privatization"": 2, ""restructuring"": 2, ""reconstruction"": 2, ""generation"": 1}","{""pr_contracts_master.csv"": 7}"
prepa:vitol_inc_attn_gregory_g_garre_francisco_g,VITOL INC ATTN GREGORY G GARRE FRANCISCO G,energy_fuel,7,4,1,0.75,17.25,"{""privatization"": 2, ""restructuring"": 2, ""reconstruction"": 2, ""generation"": 1}","{""pr_contracts_master.csv"": 7}"
prepa:quiles_pumarejo_heriberto_address_on_file,QUILES PUMAREJO HERIBERTO ADDRESS ON FILE,energy_fuel,4,2,1,0.75,10.25,"{""restructuring"": 2, ""reconstruction"": 2}","{""pr_contracts_master.csv"": 4}"
prepa:quiles_pumarejo_roberto_address_on_file,QUILES PUMAREJO ROBERTO ADDRESS ON FILE,energy_fuel,4,2,1,0.75,10.25,"{""restructuring"": 2, ""reconstruction"": 2}","{""pr_contracts_master.csv"": 4}"
prepa:paul_hastings_llp,PAUL HASTINGS LLP,legal,4,2,1,0.75,10.25,"{""restructuring"": 2, ""reconstruction"": 2}","{""pr_contracts_master.csv"": 4}"
