entity_id,normalized_name,entity_name,entity_uei,entity_type,parent_uei,parent_name,resolution_method,match_confidence,total_obligation,record_count,source_files,manual_review_required
MULTIPLE RECIPIENTS,MULTIPLE RECIPIENTS,MULTIPLE RECIPIENTS,,aggregate,,,observed_only,0.0,183994275440.06,173875,pr_all_awards_master.csv;pr_entity_profiles.csv;pr_grants_master.csv;pr_usda_master.csv,True
NMLEHM4JTN15,PUERTO RICO DEPARTMENT OF HEALTH,PUERTO RICO DEPARTMENT OF HEALTH,NMLEHM4JTN15,government,,,uei_no_parent,0.7,86788395154.9,1317,pr_all_awards_master.csv;pr_grants_master.csv;usaspending_parent_index.csv,True
K1YTP5WAJ5L5,ADMINISTRACION DE DESARROLLO SOCIOECONOMICO DE LA FAMILIA,ADMINISTRACION DE DESARROLLO SOCIOECONOMICO DE LA FAMILIA,K1YTP5WAJ5L5,government,,,uei_no_parent,0.7,83107909286.14,311,pr_all_awards_master.csv;pr_grants_master.csv;usaspending_parent_index.csv,True
HEJDFU1K4E22,GOVERNOR S AUTHORIZED REPRESENTATIVE,GOVERNOR'S AUTHORIZED REPRESENTATIVE,HEJDFU1K4E22,government,HEJDFU1K4E22,GOVERNOR'S AUTHORIZED REPRESENTATIVE,parent_field_or_sam_index,0.95,80103957049.68,193,pr_all_awards_master.csv;pr_grants_master.csv;usaspending_parent_index.csv,False
KUHBF2X2EGN3,DEPARTMENT OF EDUCATION OF PUERTO RICO,DEPARTMENT OF EDUCATION OF PUERTO RICO,KUHBF2X2EGN3,government,KUHBF2X2EGN3,DEPARTMENT OF EDUCATION OF PUERTO RICO,parent_field_or_sam_index,0.95,44648374897.02,1110,execution_chain_master.csv;pr_all_awards_master.csv;pr_grants_master.csv;usaspending_parent_index.csv,False
