municipality_geoid,municipality_code,municipality_name,municipality_name_ascii,municipality_name_canonical,municipality_name_es,aliases
72103,72103,Naguabo,Naguabo,Naguabo,Naguabo,Naguabo|NAGUABO|MUNICIPIO DE NAGUABO
72105,72105,Naranjito,Naranjito,Naranjito,Naranjito,Naranjito|NARANJITO|MUNICIPIO DE NARANJITO
72107,72107,Orocovis,Orocovis,Orocovis,Orocovis,Orocovis|OROCOVIS|MUNICIPIO DE OROCOVIS
72109,72109,Patillas,Patillas,Patillas,Patillas,Patillas|PATILLAS|MUNICIPIO DE PATILLAS
72111,72111,Penuelas,Penuelas,Penuelas,Peñuelas,Penuelas|PENUELAS|Peñuelas|MUNICIPIO DE PENUELAS
72113,72113,Ponce,Ponce,Ponce,Ponce,Ponce|PONCE|MUNICIPIO DE PONCE
72115,72115,Quebradillas,Quebradillas,Quebradillas,Quebradillas,Quebradillas|QUEBRADILLAS|MUNICIPIO DE QUEBRADILLAS
72117,72117,Rincon,Rincon,Rincon,Rincón,Rincon|RINCON|Rincón|MUNICIPIO DE RINCON
72119,72119,Rio Grande,Rio Grande,Rio Grande,Río Grande,Rio Grande|RIO GRANDE|Río Grande|MUNICIPIO DE RIO GRANDE
72121,72121,Sabana Grande,Sabana Grande,Sabana Grande,Sabana Grande,Sabana Grande|SABANA GRANDE|MUNICIPIO DE SABANA GRANDE
72123,72123,Salinas,Salinas,Salinas,Salinas,Salinas|SALINAS|MUNICIPIO DE SALINAS
72125,72125,San German,San German,San German,San Germán,San German|SAN GERMAN|San Germán|MUNICIPIO DE SAN GERMAN
72127,72127,San Juan,San Juan,San Juan,San Juan,San Juan|SAN JUAN|MUNICIPIO DE SAN JUAN|SAN JUAN MUNICIPIO|SJU|RIO PIEDRAS|HATO REY|SANTURCE
72129,72129,San Lorenzo,San Lorenzo,San Lorenzo,San Lorenzo,San Lorenzo|SAN LORENZO|MUNICIPIO DE SAN LORENZO
72131,72131,San Sebastian,San Sebastian,San Sebastian,San Sebastián,San Sebastian|SAN SEBASTIAN|San Sebastián|MUNICIPIO DE SAN SEBASTIAN
72133,72133,Santa Isabel,Santa Isabel,Santa Isabel,Santa Isabel,Santa Isabel|SANTA ISABEL|MUNICIPIO DE SANTA ISABEL
72135,72135,Toa Alta,Toa Alta,Toa Alta,Toa Alta,Toa Alta|TOA ALTA|MUNICIPIO DE TOA ALTA
72137,72137,Toa Baja,Toa Baja,Toa Baja,Toa Baja,Toa Baja|TOA BAJA|MUNICIPIO DE TOA BAJA
72139,72139,Trujillo Alto,Trujillo Alto,Trujillo Alto,Trujillo Alto,Trujillo Alto|TRUJILLO ALTO|MUNICIPIO DE TRUJILLO ALTO
72141,72141,Utuado,Utuado,Utuado,Utuado,Utuado|UTUADO|MUNICIPIO DE UTUADO
72143,72143,Vega Alta,Vega Alta,Vega Alta,Vega Alta,Vega Alta|VEGA ALTA|MUNICIPIO DE VEGA ALTA
72145,72145,Vega Baja,Vega Baja,Vega Baja,Vega Baja,Vega Baja|VEGA BAJA|MUNICIPIO DE VEGA BAJA
72147,72147,Vieques,Vieques,Vieques,Vieques,Vieques|VIEQUES|MUNICIPIO DE VIEQUES|ISLA VIEQUES
72149,72149,Villalba,Villalba,Villalba,Villalba,Villalba|VILLALBA|MUNICIPIO DE VILLALBA
72151,72151,Yabucoa,Yabucoa,Yabucoa,Yabucoa,Yabucoa|YABUCOA|MUNICIPIO DE YABUCOA
72153,72153,Yauco,Yauco,Yauco,Yauco,Yauco|YAUCO|MUNICIPIO DE YAUCO
